"einfuehrungsphase";"jahreszeit";"wetter";"arbeitstag";"temperatur";"windgeschwindigkeit";"luftfeuchtigkeit";"vermietungen"
"Nein";"Winter";"Nicht gut";"Ja";6,75;9,49;50,71;3921
"Nein";"Winter";"Gut";"Ja";4,56;26,56;48,52;3214
"Ja";"Winter";"Gut";"Ja";1,46;10,84;64,98;1562
"Nein";"Winter";"Nicht gut";"Ja";10,34;12,4;78,16;4095
"Ja";"Sommer";"Gut";"Ja";25,34;11,61;67,39;4507
"Ja";"Sommer";"Gut";"Ja";27,6;13,77;43,86;4845
"Nein";"Herbst";"Gut";"Nein";8,57;11,29;48,61;5630
"Nein";"Sommer";"Gut";"Ja";28,51;9,04;74,42;6966
"Nein";"Winter";"Nicht gut";"Ja";1,78;6,85;89,65;2432
"Ja";"Winter";"Gut";"Nein";-0,88;15,96;44,54;986
"Ja";"Frühling";"Gut";"Ja";19,86;6,49;80,52;3959
"Ja";"Winter";"Nicht gut";"Ja";0,16;7,89;76,8;1166
"Nein";"Herbst";"Gut";"Nein";10,92;7,96;54,08;7109
"Ja";"Herbst";"Schlecht";"Ja";13,37;9,51;86,1;1816
"Nein";"Sommer";"Nicht gut";"Nein";22,75;14,59;74,06;6298
"Nein";"Frühling";"Nicht gut";"Ja";19,26;10,89;66,17;5742
"Ja";"Herbst";"Gut";"Ja";18,41;10,78;51,85;4570
"Ja";"Sommer";"Gut";"Ja";25,53;15,52;61,74;4726
"Nein";"Sommer";"Nicht gut";"Nein";21,19;14,16;95,39;5255
"Ja";"Winter";"Gut";"Nein";0,61;7,82;68,79;1099
"Ja";"Herbst";"Gut";"Ja";10,07;3,11;75,87;4036
"Ja";"Winter";"Gut";"Ja";2,88;13,64;42,88;1600
"Nein";"Frühling";"Gut";"Nein";23,62;12,32;72,08;6536
"Ja";"Frühling";"Gut";"Ja";9,95;15,82;43,53;2808
"Nein";"Winter";"Nicht gut";"Nein";0,58;14,84;86,02;1301
"Ja";"Winter";"Gut";"Ja";-1,28;15,54;42,92;1321
"Nein";"Winter";"Nicht gut";"Nein";4,94;17,95;55,51;2688
"Nein";"Winter";"Gut";"Ja";15,9;10,21;51,29;4578
"Nein";"Winter";"Nicht gut";"Ja";3,4;5,61;86,15;920
"Ja";"Frühling";"Nicht gut";"Ja";15,43;13,04;90,69;4105
"Nein";"Herbst";"Gut";"Nein";14,99;8,56;58,96;8090
"Nein";"Frühling";"Gut";"Nein";19,79;18,44;64,26;6625
"Ja";"Winter";"Nicht gut";"Nein";2,18;14,25;51,08;1001
"Nein";"Winter";"Gut";"Ja";12,9;12,48;69,01;5062
"Nein";"Sommer";"Gut";"Nein";30,45;9,24;48,54;5532
"Nein";"Winter";"Gut";"Nein";5,49;27,2;42,76;1749
"Ja";"Herbst";"Nicht gut";"Ja";17,39;8,95;68,44;4539
"Nein";"Sommer";"Nicht gut";"Ja";27,27;13,67;56,13;6665
"Ja";"Frühling";"Gut";"Nein";14,73;22,93;43,52;3117
"Nein";"Winter";"Gut";"Nein";5,06;20,36;35,19;1951
"Nein";"Winter";"Gut";"Ja";8,6;16,52;56,89;4322
"Nein";"Sommer";"Gut";"Ja";30,02;11,43;50,53;5823
"Ja";"Sommer";"Gut";"Nein";24,79;11,69;67,94;4459
"Nein";"Frühling";"Gut";"Ja";18,13;8,71;86,03;6093
"Nein";"Frühling";"Schlecht";"Nein";10,5;23,07;81,44;1027
"Nein";"Herbst";"Nicht gut";"Nein";16,8;16,17;74,57;7850
"Ja";"Sommer";"Gut";"Ja";23,22;4,77;56,61;5057
"Nein";"Herbst";"Gut";"Ja";12,76;15,09;52,86;7281
"Nein";"Frühling";"Gut";"Nein";7,05;13,83;53,32;4913
"Nein";"Winter";"Nicht gut";"Nein";4,69;8,36;75,15;1341
"Ja";"Frühling";"Gut";"Ja";24,91;12,96;63,83;4977
"Nein";"Winter";"Gut";"Ja";8,46;13,37;65,2;4155
"Nein";"Winter";"Gut";"Nein";5,36;16,9;54,44;3128
"Ja";"Sommer";"Gut";"Ja";28,23;18,64;61,39;4086
"Nein";"Herbst";"Gut";"Ja";19,15;5,65;55,7;7766
"Ja";"Herbst";"Gut";"Nein";13,63;18,21;42,09;3716
"Ja";"Sommer";"Gut";"Ja";24,97;16,02;48,1;5227
"Nein";"Herbst";"Gut";"Nein";16,5;10,64;65,98;6889
"Ja";"Herbst";"Gut";"Ja";22,65;9,39;58,3;5114
"Nein";"Frühling";"Nicht gut";"Ja";20,94;8,9;67,34;8363
"Ja";"Winter";"Gut";"Ja";4,2;19,54;40,85;1817
"Ja";"Frühling";"Nicht gut";"Nein";8,91;23,22;94,17;605
"Ja";"Sommer";"Gut";"Ja";30,42;10,91;56,6;3846
"Ja";"Herbst";"Schlecht";"Ja";14,68;15,89;92,01;2423
"Ja";"Frühling";"Gut";"Ja";8,84;13,9;28,08;2425
"Nein";"Winter";"Nicht gut";"Ja";3,35;24,27;62,26;2114
"Nein";"Frühling";"Gut";"Ja";17,13;15,66;57,19;5845
"Nein";"Frühling";"Gut";"Nein";18,35;7,02;44,63;7429
"Ja";"Sommer";"Gut";"Ja";27,24;13,84;38,43;4780
"Nein";"Winter";"Gut";"Ja";6,79;13,96;58,23;3776
"Nein";"Sommer";"Gut";"Ja";22,76;23,19;57,7;7422
"Ja";"Winter";"Gut";"Ja";3,84;11,07;69,53;3403
"Ja";"Winter";"Gut";"Ja";0,16;8,27;47,44;1747
"Nein";"Herbst";"Nicht gut";"Ja";18,03;9,61;80,95;7444
"Ja";"Sommer";"Gut";"Nein";25,12;16,13;80,12;3874
"Nein";"Sommer";"Gut";"Ja";28,4;10,64;57,26;6904
"Ja";"Frühling";"Nicht gut";"Nein";19,5;12,14;77,48;4191
"Nein";"Frühling";"Nicht gut";"Ja";17,17;11,07;82,43;5027
"Ja";"Frühling";"Nicht gut";"Nein";7,37;10,51;83;2454
"Nein";"Herbst";"Gut";"Ja";5,96;14,42;51,01;5261
"Nein";"Herbst";"Gut";"Nein";23,57;8,79;82,58;6034
"Nein";"Frühling";"Gut";"Ja";14,88;28,75;53,23;5382
"Ja";"Sommer";"Gut";"Nein";30,08;11,73;61,14;3606
"Nein";"Herbst";"Gut";"Ja";20,18;17,79;52,45;7525
"Nein";"Winter";"Gut";"Ja";6,69;10,21;59,35;4099
"Nein";"Sommer";"Gut";"Ja";24,6;11,29;52,97;7265
"Ja";"Herbst";"Nicht gut";"Nein";9,97;21,09;75,13;2427
"Nein";"Herbst";"Gut";"Nein";16,6;18,03;63,61;6637
"Ja";"Frühling";"Gut";"Ja";19,04;8,25;64,44;4918
"Nein";"Winter";"Gut";"Nein";0,79;17,32;49,26;2311
"Nein";"Winter";"Gut";"Ja";0,15;14,58;44,96;3292
"Nein";"Herbst";"Nicht gut";"Nein";22,16;17,34;74,85;5975
"Nein";"Herbst";"Nicht gut";"Nein";9,55;12,13;78,8;5478
"Nein";"Frühling";"Nicht gut";"Nein";18,36;10,12;72;6360
"Nein";"Sommer";"Gut";"Ja";28,94;8,21;58,65;5712
"Nein";"Winter";"Nicht gut";"Ja";6,58;9,25;71,97;4126
"Ja";"Sommer";"Gut";"Ja";25,55;10,27;64,26;4592
"Nein";"Sommer";"Gut";"Ja";24,53;17,14;33,92;7334
"Ja";"Herbst";"Gut";"Nein";23,52;12,14;65,52;4484
"Ja";"Winter";"Gut";"Nein";-2,8;26,18;33,07;823
"Nein";"Winter";"Nicht gut";"Ja";8,88;22,96;78,23;2934
"Nein";"Winter";"Gut";"Nein";4,92;29,12;41,57;2731
"Ja";"Winter";"Nicht gut";"Ja";-0,14;12,85;66,19;1500
"Nein";"Frühling";"Gut";"Ja";21,59;8,66;59,72;7423
"Ja";"Frühling";"Nicht gut";"Ja";20,01;22,57;63,06;4058
"Nein";"Frühling";"Gut";"Ja";17,1;10,54;44,42;6436
"Ja";"Sommer";"Gut";"Ja";20,12;16,96;31,49;5312
"Ja";"Frühling";"Gut";"Ja";15,74;11,47;48,09;3429
"Nein";"Sommer";"Nicht gut";"Ja";25,27;10,13;74,07;6289
"Ja";"Frühling";"Nicht gut";"Ja";8,23;15,01;74,89;1471
"Ja";"Herbst";"Schlecht";"Ja";20,93;5,68;86,2;1997
"Nein";"Frühling";"Nicht gut";"Ja";7,3;20,7;80,51;3215
"Nein";"Frühling";"Gut";"Ja";21,2;15,25;58,98;7384
"Ja";"Frühling";"Nicht gut";"Ja";8,38;14,32;74,41;2194
"Nein";"Frühling";"Nicht gut";"Ja";9,31;11,68;58,95;5459
"Nein";"Herbst";"Nicht gut";"Nein";15,55;25,04;66,46;4459
"Ja";"Frühling";"Nicht gut";"Ja";18,45;13,12;96,6;3857
"Ja";"Herbst";"Nicht gut";"Ja";8,89;19,96;66,3;3052
"Nein";"Herbst";"Gut";"Ja";5,49;12,8;63,15;5687
"Nein";"Sommer";"Gut";"Ja";26,8;12,39;35,78;6880
"Ja";"Winter";"Gut";"Ja";-1,51;10,83;49,32;1423
"Ja";"Winter";"Nicht gut";"Ja";10,66;3,52;90,36;3811
"Ja";"Herbst";"Nicht gut";"Ja";13,47;11,12;67,55;4761
"Nein";"Winter";"Nicht gut";"Ja";2,45;10,51;54,84;2730
